year,month,month_name,cpi_general_index,cpi_general_yoy_inflation_pct,base_year,source
2011,3,Mar,105.6,,2010=100,MoSPI t4_18apr12.pdf
2012,3,Mar,115.6,9.47,2010=100,MoSPI t4_18apr12.pdf
2013,3,Mar,105.5,,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2013,9,Sep,113.7,,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2014,3,Mar,114.2,8.25,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2014,9,Sep,120.1,5.63,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2015,3,Mar,120.2,5.25,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2015,9,Sep,125.4,4.41,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2016,3,Mar,126.0,4.83,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2016,9,Sep,130.9,4.39,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2017,3,Mar,130.9,3.89,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2017,9,Sep,135.2,3.28,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2018,3,Mar,136.5,4.28,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2018,9,Sep,140.2,3.7,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2019,3,Mar,140.4,2.86,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2019,9,Sep,145.8,3.99,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2020,3,Mar,148.6,5.84,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2020,9,Sep,156.4,7.27,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2021,3,Mar,156.8,5.52,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2021,9,Sep,163.2,4.35,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2022,3,Mar,167.7,6.95,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2022,9,Sep,175.3,7.41,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2023,3,Mar,177.2,5.66,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2023,9,Sep,184.1,5.02,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2024,3,Mar,185.8,4.85,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2024,9,Sep,194.2,5.49,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2025,3,Mar,192.0,3.34,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
2025,9,Sep,197.0,1.44,2012=100,"MoSPI Annexure VI/VII (Dec-2025 release, bundled time series)"
