year,month,date_label,gdp_growth_pct_calendar_year_approx,calendar_year_used
2010,3,Mar-2010,7.86188883286074,2009
2010,9,Sep-2010,8.49758470221235,2010
2011,3,Mar-2011,8.49758470221235,2010
2011,9,Sep-2011,5.24131619937695,2011
2012,3,Mar-2012,5.24131619937695,2011
2012,9,Sep-2012,5.45638755166587,2012
2013,3,Mar-2013,5.45638755166587,2012
2013,9,Sep-2013,6.38610640094825,2013
2014,3,Mar-2014,6.38610640094825,2013
2014,9,Sep-2014,7.41022760508854,2014
2015,3,Mar-2015,7.41022760508854,2014
2015,9,Sep-2015,7.99625378571471,2015
2016,3,Mar-2016,7.99625378571471,2015
2016,9,Sep-2016,8.25630550179086,2016
2017,3,Mar-2017,8.25630550179086,2016
2017,9,Sep-2017,6.79538341897911,2017
2018,3,Mar-2018,6.79538341897911,2017
2018,9,Sep-2018,6.45385134497769,2018
2019,3,Mar-2019,6.45385134497769,2018
2019,9,Sep-2019,3.87143694070356,2019
2020,3,Mar-2020,3.87143694070356,2019
2020,9,Sep-2020,-5.77772470686801,2020
2021,3,Mar-2021,-5.77772470686801,2020
2021,9,Sep-2021,9.68959249192875,2021
2022,3,Mar-2022,9.68959249192875,2021
2022,9,Sep-2022,7.60936497768895,2022
2023,3,Mar-2023,7.60936497768895,2022
2023,9,Sep-2023,9.19075493028345,2023
2024,3,Mar-2024,9.19075493028345,2023
2024,9,Sep-2024,6.49476552383821,2024
2025,3,Mar-2025,6.49476552383821,2024
2025,9,Sep-2025,,2025
